datetime,open,high,low,close,volume
2026-05-04 05:00:00,143.48,145.13,142.42,143.53,305114
2026-05-04 06:00:00,144.46,146.19,143.64,145.76,338669
2026-05-04 07:00:00,146.96,147.44,145.84,146.66,264360
2026-05-04 08:00:00,147.11,148.36,144.84,146.37,1074810
2026-05-04 09:00:00,147.72,147.89,142.65,146.03,129353
2026-05-04 10:00:00,141.57,141.23,139.06,141.09,97662
2026-05-04 11:00:00,141.34,140.76,139.41,140.44,454937
2026-05-04 12:00:00,141.2,142.69,141.8,141.99,1909417
2026-05-04 13:00:00,140.4,140.89,140.38,140.57,188797
2026-05-04 14:00:00,141.08,143.49,140.81,141.68,442855
2026-05-04 15:00:00,143.69,145.22,141.53,143.23,447936
2026-05-04 16:00:00,144.23,144.27,143.27,144.15,426690
2026-05-04 17:00:00,144.24,146.0,144.55,144.92,183186
2026-05-04 18:00:00,146.54,149.51,145.26,146.12,317027
2026-05-04 19:00:00,146.51,147.49,144.64,146.78,243510
2026-05-04 20:00:00,143.74,144.95,143.67,144.13,373295
2026-05-04 21:00:00,145.55,146.98,143.6,145.65,124438
2026-05-04 22:00:00,144.28,145.64,143.88,144.32,426319
2026-05-04 23:00:00,145.06,148.39,144.6,145.23,397631
2026-05-05 00:00:00,145.96,146.73,146.1,146.45,258580
2026-05-05 01:00:00,150.38,150.52,148.49,149.92,90216
2026-05-05 02:00:00,149.51,150.74,149.41,150.11,372657
2026-05-05 03:00:00,147.09,148.06,146.82,147.64,87810
2026-05-05 04:00:00,149.7,148.8,148.72,148.79,111410
2026-05-05 05:00:00,145.84,146.71,144.48,145.4,348711
2026-05-05 06:00:00,146.24,147.56,145.02,145.67,790483
2026-05-05 07:00:00,142.51,143.31,141.93,142.57,167744
2026-05-05 08:00:00,141.83,142.84,138.53,141.11,119323
2026-05-05 09:00:00,143.63,143.65,141.94,143.22,111502
2026-05-05 10:00:00,143.06,144.11,139.21,143.79,465765
2026-05-05 11:00:00,142.85,143.87,142.05,143.39,86423
2026-05-05 12:00:00,140.78,141.07,139.14,141.03,64134
2026-05-05 13:00:00,142.03,142.32,140.64,142.15,133273
2026-05-05 14:00:00,144.4,144.4,142.43,143.46,236747
2026-05-05 15:00:00,142.25,145.67,142.24,142.96,254665
2026-05-05 16:00:00,143.27,143.31,142.39,142.69,261277
2026-05-05 17:00:00,142.63,147.33,140.67,142.31,445229
2026-05-05 18:00:00,141.07,142.93,140.1,141.49,439737
2026-05-05 19:00:00,143.91,148.24,143.45,144.62,61049
2026-05-05 20:00:00,144.9,146.62,143.17,145.42,345888
2026-05-05 21:00:00,142.68,142.16,140.26,141.78,447001
2026-05-05 22:00:00,141.67,143.81,140.71,142.2,86361
2026-05-05 23:00:00,144.38,146.86,142.45,144.49,204262
2026-05-06 00:00:00,145.51,146.33,144.54,145.27,231181
2026-05-06 01:00:00,143.29,144.86,143.07,143.78,212544
2026-05-06 02:00:00,149.97,151.96,144.79,149.38,376068
2026-05-06 03:00:00,146.36,148.51,145.93,146.54,178553
2026-05-06 04:00:00,148.33,148.93,148.23,148.57,390078
2026-05-06 05:00:00,147.82,150.14,143.23,148.51,486695
2026-05-06 06:00:00,147.62,148.03,146.69,147.37,347934
2026-05-06 07:00:00,145.33,144.99,142.72,144.54,426164
2026-05-06 08:00:00,144.08,145.85,144.14,144.51,183531
2026-05-06 09:00:00,144.16,148.1,142.51,145.39,383880
2026-05-06 10:00:00,142.14,143.91,140.46,142.93,262563
2026-05-06 11:00:00,141.57,144.7,140.3,142.58,101914
2026-05-06 12:00:00,144.7,146.7,145.23,145.59,676054
2026-05-06 13:00:00,146.1,145.93,143.5,145.52,293874
2026-05-06 14:00:00,144.75,145.64,142.8,144.15,314551
2026-05-06 15:00:00,142.69,148.37,139.89,143.18,259016
2026-05-06 16:00:00,139.15,139.97,139.06,139.45,461863
2026-05-06 17:00:00,138.24,140.09,138.34,138.45,465503
2026-05-06 18:00:00,140.42,141.18,139.4,140.43,276715
2026-05-06 19:00:00,139.24,140.72,139.2,139.81,381975
2026-05-06 20:00:00,138.02,138.93,136.93,137.94,2194471
2026-05-06 21:00:00,135.21,137.13,135.52,136.04,261778
2026-05-06 22:00:00,135.24,138.35,135.44,136.48,479135
2026-05-06 23:00:00,138.93,140.83,137.95,139.67,319537
2026-05-07 00:00:00,140.53,140.65,139.54,139.63,56021
2026-05-07 01:00:00,140.26,141.41,139.0,139.01,389041
2026-05-07 02:00:00,140.58,144.7,139.78,140.86,72269
2026-05-07 03:00:00,140.85,140.93,139.27,140.69,1795501
2026-05-07 04:00:00,140.51,140.43,138.8,139.57,483153
2026-05-07 05:00:00,142.18,143.37,140.83,141.87,498994
2026-05-07 06:00:00,144.3,145.42,142.57,144.45,187498
2026-05-07 07:00:00,144.6,145.16,143.95,144.2,110235
2026-05-07 08:00:00,146.69,147.38,145.69,146.68,208701
2026-05-07 09:00:00,148.49,150.65,147.78,149.17,295135
2026-05-07 10:00:00,150.42,152.0,149.02,150.12,168936
2026-05-07 11:00:00,149.89,150.05,147.55,149.63,169512
2026-05-07 12:00:00,150.73,152.27,149.69,149.82,357536
2026-05-07 13:00:00,150.65,151.23,149.57,150.83,240832
2026-05-07 14:00:00,148.95,152.48,148.55,149.16,86310
2026-05-07 15:00:00,149.59,150.93,150.09,150.52,248480
2026-05-07 16:00:00,151.01,152.32,150.12,150.53,196574
2026-05-07 17:00:00,152.68,153.33,150.52,153.16,497267
2026-05-07 18:00:00,151.43,152.05,149.27,150.46,182036
2026-05-07 19:00:00,152.73,152.14,149.75,152.14,68906
2026-05-07 20:00:00,153.45,154.82,153.4,153.5,1231641
2026-05-07 21:00:00,149.65,152.03,144.07,149.22,115057
2026-05-07 22:00:00,150.84,151.56,148.82,150.14,448574
2026-05-07 23:00:00,149.85,149.51,148.67,149.47,226553
2026-05-08 00:00:00,150.49,151.82,150.46,150.56,125361
2026-05-08 01:00:00,152.95,154.22,151.5,153.23,282144
2026-05-08 02:00:00,159.05,158.94,157.52,158.16,464991
2026-05-08 03:00:00,157.91,157.22,152.9,156.7,464454
2026-05-08 04:00:00,152.73,154.93,149.59,153.57,203100
2026-05-08 05:00:00,155.1,156.89,153.63,155.25,167077
2026-05-08 06:00:00,154.33,156.16,152.94,154.91,286066
2026-05-08 07:00:00,158.91,159.12,158.22,158.5,384317
2026-05-08 08:00:00,157.22,158.43,155.16,156.22,414419
2026-05-08 09:00:00,150.31,152.46,149.27,150.6,430739
2026-05-08 10:00:00,147.4,148.72,146.99,147.46,173741
2026-05-08 11:00:00,149.3,152.16,148.77,149.06,395761
2026-05-08 12:00:00,149.91,151.17,148.56,149.11,171782
2026-05-08 13:00:00,146.16,146.66,144.93,146.6,386759
2026-05-08 14:00:00,143.95,144.75,143.25,143.85,399531
2026-05-08 15:00:00,139.46,140.57,140.35,140.43,486864
2026-05-08 16:00:00,143.84,145.02,143.89,144.24,251697
2026-05-08 17:00:00,143.61,146.38,141.93,144.28,99205
2026-05-08 18:00:00,141.19,143.63,141.99,142.46,496352
2026-05-08 19:00:00,145.87,145.77,144.71,145.44,202035
2026-05-08 20:00:00,144.39,147.14,144.56,145.27,365632
2026-05-08 21:00:00,145.74,149.39,145.9,147.05,398033
2026-05-08 22:00:00,145.59,147.93,144.67,146.11,210610
2026-05-08 23:00:00,146.78,147.88,147.1,147.26,96252
2026-05-09 00:00:00,145.22,148.04,144.39,146.03,893692
2026-05-09 01:00:00,144.72,146.14,144.17,145.46,143965
2026-05-09 02:00:00,143.85,144.47,142.07,144.03,347840
2026-05-09 03:00:00,142.9,144.15,141.5,142.78,444966
2026-05-09 04:00:00,144.94,146.23,144.19,145.34,61036
2026-05-09 05:00:00,144.56,144.79,144.02,144.73,324904
2026-05-09 06:00:00,146.46,146.97,145.2,146.49,236392
2026-05-09 07:00:00,146.22,147.45,146.11,146.13,203486
2026-05-09 08:00:00,147.19,147.27,143.26,146.12,273650
2026-05-09 09:00:00,147.23,149.43,147.28,147.52,210318
2026-05-09 10:00:00,145.7,150.18,144.12,145.55,178119
2026-05-09 11:00:00,146.02,147.29,143.74,146.48,52534
2026-05-09 12:00:00,146.79,148.67,146.33,146.87,482818
2026-05-09 13:00:00,149.09,151.07,146.54,149.96,1125272
2026-05-09 14:00:00,149.82,150.69,148.94,150.37,221352
2026-05-09 15:00:00,150.87,151.75,149.72,151.32,338339
2026-05-09 16:00:00,152.0,152.06,149.0,151.38,377013
2026-05-09 17:00:00,152.71,154.68,152.69,152.82,313049
2026-05-09 18:00:00,151.32,153.55,146.68,151.29,83827
2026-05-09 19:00:00,151.16,151.51,150.32,150.97,204707
2026-05-09 20:00:00,151.99,153.24,152.47,152.52,1047729
2026-05-09 21:00:00,151.05,152.69,150.33,151.97,180648
2026-05-09 22:00:00,154.13,153.64,150.69,153.23,299561
2026-05-09 23:00:00,150.99,152.61,150.6,151.33,295684
2026-05-10 00:00:00,152.61,154.13,151.94,152.11,399489
2026-05-10 01:00:00,152.47,152.48,150.27,151.91,178977
2026-05-10 02:00:00,151.62,153.53,150.65,151.51,389065
2026-05-10 03:00:00,150.98,153.28,150.74,151.56,236299
2026-05-10 04:00:00,151.61,153.21,149.69,150.29,404746
2026-05-10 05:00:00,150.85,151.46,149.48,151.32,235747
2026-05-10 06:00:00,152.69,154.33,150.39,152.63,421330
2026-05-10 07:00:00,153.53,154.04,153.3,153.37,107310
2026-05-10 08:00:00,158.49,158.05,156.37,157.55,276283
2026-05-10 09:00:00,160.06,161.31,156.36,160.2,161466
2026-05-10 10:00:00,156.95,158.58,155.83,157.37,125797
2026-05-10 11:00:00,160.12,161.02,160.34,160.39,58987
2026-05-10 12:00:00,160.39,161.04,158.23,159.96,147997
2026-05-10 13:00:00,161.04,161.02,159.54,160.33,95733
2026-05-10 14:00:00,159.93,162.64,159.15,160.9,162906
2026-05-10 15:00:00,160.7,161.17,160.49,160.84,357601
2026-05-10 16:00:00,159.27,161.32,158.45,160.16,1744057
2026-05-10 17:00:00,161.06,161.74,157.41,160.54,199404
2026-05-10 18:00:00,157.35,159.01,156.1,157.42,412044
2026-05-10 19:00:00,155.54,157.73,153.35,155.24,498524
2026-05-10 20:00:00,153.37,154.22,152.31,152.88,91176
2026-05-10 21:00:00,153.38,154.17,152.86,153.97,450846
2026-05-10 22:00:00,152.23,153.84,151.22,152.34,432565
