datetime,open,high,low,close,volume
2026-05-04 05:00:00,7318.14,7362.29,7286.99,7322.81,164109
2026-05-04 06:00:00,7301.5,7290.65,7252.58,7281.75,188465
2026-05-04 07:00:00,7280.51,7409.42,7247.39,7315.35,656533
2026-05-04 08:00:00,7211.32,7234.68,7211.97,7229.49,361409
2026-05-04 09:00:00,7221.35,7279.41,7144.78,7222.24,392117
2026-05-04 10:00:00,7146.96,7170.21,7083.64,7142.02,127053
2026-05-04 11:00:00,7184.84,7144.61,7021.05,7142.95,101116
2026-05-04 12:00:00,6997.19,7056.69,6816.46,6992.91,221715
2026-05-04 13:00:00,7058.09,7069.63,6988.21,7047.46,277588
2026-05-04 14:00:00,7009.73,7030.4,6911.23,6986.78,870959
2026-05-04 15:00:00,6898.11,6973.94,6865.27,6906.76,66740
2026-05-04 16:00:00,6953.87,6971.39,6917.13,6948.94,150528
2026-05-04 17:00:00,6833.29,6849.17,6745.41,6835.28,113240
2026-05-04 18:00:00,6814.85,6864.91,6732.6,6829.07,143173
2026-05-04 19:00:00,6805.16,6884.64,6759.05,6767.98,388106
2026-05-04 20:00:00,6886.03,6890.47,6852.53,6888.11,385415
2026-05-04 21:00:00,6914.51,6937.51,6807.68,6876.34,89544
2026-05-04 22:00:00,6698.92,6723.44,6667.33,6710.19,726718
2026-05-04 23:00:00,6730.84,6804.41,6689.1,6733.51,333839
2026-05-05 00:00:00,6789.31,6781.93,6681.51,6744.94,473212
2026-05-05 01:00:00,6668.85,6749.1,6640.26,6707.43,124396
2026-05-05 02:00:00,6769.48,6778.9,6579.39,6740.38,420489
2026-05-05 03:00:00,6780.24,6756.13,6702.5,6739.42,428897
2026-05-05 04:00:00,6764.22,6875.22,6668.99,6770.11,1158937
2026-05-05 05:00:00,6774.06,6770.23,6705.22,6765.96,254540
2026-05-05 06:00:00,6735.11,6819.17,6730.07,6755.61,66642
2026-05-05 07:00:00,6722.17,6724.05,6634.34,6692.32,116130
2026-05-05 08:00:00,6595.13,6632.67,6617.34,6625.67,117991
2026-05-05 09:00:00,6504.03,6500.76,6427.55,6482.24,442957
2026-05-05 10:00:00,6489.51,6513.41,6412.54,6473.28,445869
2026-05-05 11:00:00,6405.68,6548.44,6347.9,6382.47,490057
2026-05-05 12:00:00,6383.83,6410.06,6312.09,6402.85,235497
2026-05-05 13:00:00,6347.55,6386.81,6294.17,6344.02,464835
2026-05-05 14:00:00,6309.99,6291.84,6280.64,6291.38,325366
2026-05-05 15:00:00,6353.74,6352.56,6334.79,6338.27,170423
2026-05-05 16:00:00,6453.31,6512.47,6457.13,6470.83,264992
2026-05-05 17:00:00,6513.51,6525.83,6326.8,6468.45,101094
2026-05-05 18:00:00,6369.98,6440.95,6335.54,6396.32,89249
2026-05-05 19:00:00,6448.74,6474.36,6364.28,6440.73,154912
2026-05-05 20:00:00,6460.45,6496.82,6462.91,6476.04,491168
2026-05-05 21:00:00,6491.28,6592.47,6388.57,6485.94,175058
2026-05-05 22:00:00,6620.23,6659.64,6568.15,6611.38,63021
2026-05-05 23:00:00,6573.15,6620.14,6545.04,6583.16,430592
2026-05-06 00:00:00,6443.86,6518.49,6438.56,6482.0,222569
2026-05-06 01:00:00,6389.37,6455.53,6369.53,6412.68,1145315
2026-05-06 02:00:00,6469.82,6465.47,6391.12,6449.86,407908
2026-05-06 03:00:00,6521.46,6509.07,6421.02,6507.62,369615
2026-05-06 04:00:00,6574.76,6648.04,6585.13,6616.73,411114
2026-05-06 05:00:00,6703.74,6816.67,6546.08,6679.35,328489
2026-05-06 06:00:00,6779.55,6805.85,6744.41,6770.17,266219
2026-05-06 07:00:00,6853.09,6872.68,6831.3,6867.14,330984
2026-05-06 08:00:00,6892.31,6920.58,6798.32,6887.21,303234
2026-05-06 09:00:00,6902.7,6925.85,6845.03,6862.57,365781
2026-05-06 10:00:00,6964.82,7043.26,6857.78,6999.12,480112
2026-05-06 11:00:00,6992.48,6997.15,6882.49,6976.59,186369
2026-05-06 12:00:00,7048.37,7058.77,7021.61,7041.82,467451
2026-05-06 13:00:00,6956.55,7067.73,6984.72,6997.21,400785
2026-05-06 14:00:00,7116.78,7163.31,7044.59,7105.08,272635
2026-05-06 15:00:00,7053.47,7179.92,7080.21,7088.23,286819
2026-05-06 16:00:00,7084.87,7127.93,7041.76,7066.04,417864
2026-05-06 17:00:00,7124.32,7158.22,7081.05,7093.51,458364
2026-05-06 18:00:00,7131.8,7152.38,7092.74,7116.05,150001
2026-05-06 19:00:00,7155.75,7176.47,7072.5,7148.9,178437
2026-05-06 20:00:00,7173.81,7208.45,7083.5,7146.77,467438
2026-05-06 21:00:00,7098.53,7123.72,7036.11,7089.34,425572
2026-05-06 22:00:00,7090.36,7052.45,6938.69,7021.92,495031
2026-05-06 23:00:00,7068.72,7157.92,6955.34,7077.12,104870
2026-05-07 00:00:00,7115.91,7175.83,7002.63,7087.74,234635
2026-05-07 01:00:00,7084.23,7128.42,7066.01,7108.09,261431
2026-05-07 02:00:00,7021.57,7028.78,7013.86,7020.43,445132
2026-05-07 03:00:00,6956.14,7029.12,6933.36,6971.47,165685
2026-05-07 04:00:00,6985.46,7036.35,7004.91,7019.8,289767
2026-05-07 05:00:00,6915.24,7034.4,6891.33,6911.5,375007
2026-05-07 06:00:00,7052.54,7086.19,6945.41,7038.73,109590
2026-05-07 07:00:00,7047.98,7090.01,7011.94,7045.96,439377
2026-05-07 08:00:00,6959.38,7034.0,6950.75,6996.32,298895
2026-05-07 09:00:00,7121.46,7123.36,7024.42,7104.3,233582
2026-05-07 10:00:00,7046.55,7082.53,7042.08,7048.33,220008
2026-05-07 11:00:00,7129.91,7316.95,7121.54,7142.26,202305
2026-05-07 12:00:00,7099.33,7166.51,6960.66,7104.28,141379
2026-05-07 13:00:00,7297.99,7309.17,7238.93,7284.09,434508
2026-05-07 14:00:00,7328.06,7362.55,7285.5,7339.77,167864
2026-05-07 15:00:00,7374.32,7380.58,7348.87,7368.15,147935
2026-05-07 16:00:00,7367.52,7445.19,7251.08,7345.53,142027
2026-05-07 17:00:00,7359.48,7409.08,7280.39,7349.93,586512
2026-05-07 18:00:00,7341.7,7464.04,7256.82,7326.3,203698
2026-05-07 19:00:00,7379.16,7431.4,7304.91,7379.65,344981
2026-05-07 20:00:00,7365.53,7493.84,7388.77,7434.29,409787
2026-05-07 21:00:00,7428.19,7458.29,7425.25,7436.84,340830
2026-05-07 22:00:00,7428.77,7491.53,7432.85,7440.27,97269
2026-05-07 23:00:00,7320.47,7340.01,7322.71,7328.45,364302
2026-05-08 00:00:00,7392.93,7475.57,7361.16,7411.91,94771
2026-05-08 01:00:00,7471.87,7511.92,7477.74,7491.7,226459
2026-05-08 02:00:00,7624.05,7649.27,7574.17,7600.73,309134
2026-05-08 03:00:00,7583.79,7585.63,7566.29,7574.62,303541
2026-05-08 04:00:00,7491.71,7488.02,7382.96,7475.42,229298
2026-05-08 05:00:00,7564.62,7671.56,7511.23,7562.71,225437
2026-05-08 06:00:00,7621.25,7605.8,7564.34,7605.09,347698
2026-05-08 07:00:00,7472.94,7525.49,7392.89,7457.73,152143
2026-05-08 08:00:00,7382.79,7427.23,7317.61,7373.95,123953
2026-05-08 09:00:00,7438.12,7523.63,7444.49,7451.97,65489
2026-05-08 10:00:00,7511.12,7638.17,7457.5,7507.59,456016
2026-05-08 11:00:00,7499.59,7561.82,7382.76,7523.15,78731
2026-05-08 12:00:00,7661.55,7674.66,7615.29,7631.74,282554
2026-05-08 13:00:00,7668.6,7787.25,7682.28,7693.9,466500
2026-05-08 14:00:00,7604.13,7691.98,7542.77,7598.86,488980
2026-05-08 15:00:00,7581.08,7620.32,7558.0,7597.07,319249
2026-05-08 16:00:00,7645.01,7696.35,7647.09,7689.69,202995
2026-05-08 17:00:00,7772.61,7801.12,7714.65,7760.83,474600
2026-05-08 18:00:00,7847.07,7953.14,7802.29,7850.22,492018
